#DeCS_code	Term_Spanish	Term_English	MeSH_code	Synonyms
34403	moduladores selectivos de los receptores de estrógenos	Selective Estrogen Receptor Modulators	D020845	Moduladores Selectivos de Receptores de Estrógeno|Moduladores Selectivos de los Receptores de Estrógenos|Moduladores Selectivos del Receptor Estrogénico|Mress|MSRE|moduladores selectivos de los receptores estrogénicos|moduladores selectivos de receptores de estrógenos|moduladores selectivos de receptores estrogénicos|Moduladores Selectivos de los Receptores de Estrógeno
34404	leptina	Leptin	D020738	Proteína Obesa|proteína de la obesidad|proteína ob
34405	beta-MSH	beta-MSH	D019824	Hormona Estimuladora de Melanocitos, beta|Hormona beta-Melanocito-Estimulante|HEM beta|MSH beta|hormona beta estimuladora de melanocitos|hormona beta estimulante de melanocitos|hormona estimuladora de los melanocitos beta|hormona estimulante de melanocitos beta
34406	gamma-MSH	gamma-MSH	D019825	Hormona gamma Estimuladora de Melanocitos|Hormona gamma-Melanocito-Estimulante|gamma MSH|gamma-HEM|MSH gamma|MSH-gamma|hormona estimuladora de melanocitos gamma|hormona estimulante de los melanocitos gamma|melanotropina gamma
34408	factores de elongación enlazados a la GTP fosfohidrolasa	GTP Phosphohydrolase-Linked Elongation Factors	D020963	Factores de Elongación Enlazados a Guanosinatrifosfatasa|Factores de Elongación Ligados a GTPasas|Factores de Elongación Ligados a Guanosina Trifosfatasa|Factores de Elongación Ligados a Guanosina Trifosfatasas|Factores de Elongación Ligados a Guanosinatrifosfatasa|Factores de Elongación Ligados a Guanosinatrifosfatasas|Factores de Elongación Ligados a Guanosintrifosfatasa|factores de elongación enlazados a GTPasa|factores de elongación enlazados a GTPasas|factores de elongación enlazados a la GTP-fosfohidrolasa|factores de elongación enlazados a la GTPasa|factores de elongación enlazados a la guanosintrifosfatasa|factores de elongación ligados a GTP fosfohidrolasas|factores de elongación ligados a GTPasa|factores de elongación ligados a guanosintrifosfatasas|factores de elongación relacionados con la GTP fosfohidrolasa|factores de elongación relacionados con la GTPasa|factores de elongación relacionados con la guanosintrifosfatasa|factores de elongación vinculados a la GTP fosfohidrolasa|Factores de Elongación Enlazados a GTP Fosfohidrolasas
34409	factor G de elongación peptídica	Peptide Elongation Factor G	D020653	EF-G|F-GE|factor G de elongación|producto del gen fusA|proteína fusA
34410	factor 1 de elongación peptídica	Peptide Elongation Factor 1	D020648	Factor 1alfa de Elongación|Factor 1beta de Elongación|Factor 1delta de Elongación|Factor 1gamma de Elongación|EF-1|F-1E|factor 1 alfa de elongación|factor 1 beta de elongación|factor 1 de elongación|factor 1 delta de elongación|factor 1 gamma de elongación|factor de elongación 1|factor de elongación 1 alfa|factor de elongación 1 beta|factor de elongación 1 delta|factor de elongación 1 gamma
34411	factor 2 de elongación peptídica	Peptide Elongation Factor 2	D020652	EF-2|F-2E|factor 2 de elongación|factor 2 de elongación citoplasmática|factor de elongación 2|factor de elongación citoplasmática 2
34412	proteínas de unión al GTP heterotriméricas	Heterotrimeric GTP-Binding Proteins	D020962	Proteínas Heterotriméricas de Unión a GTP|Proteínas Heterotriméricas de Unión al GTP|Proteínas de Unión a GTP Heterotriméricas|proteínas G heterotriméricas|proteínas heterotriméricas G
34413	proteínas de unión al GTP monoméricas	Monomeric GTP-Binding Proteins	D020559	GTPasas ras-Relacionadas|GTPasas pequeñas|GTPasas relacionadas con ras|proteínas G monoméricas|proteínas G pequeñas|proteínas de unión a GTP monoméricas|proteínas monoméricas de unión a GTP|proteínas monoméricas de unión al GTP|proteínas-G monoméricas
34414	factores de ribosilación del ADP	ADP-Ribosylation Factors	D020727	Factores de Ribosilacion-ADP
34415	factor 1 de ribosilación del ADP	ADP-Ribosylation Factor 1	D020823	proteína ARF 1|Factor 1 de Ribosilacion-ADP
34416	proteínas de unión al GTP rab	rab GTP-Binding Proteins	D020691	Proteínas de Unión a GTP rab|Proteínas-G rab|GTPasas rab|proteína G-rab|proteínas rab de unión al GTP
34417	proteínas de unión al GTP rab1	rab1 GTP-Binding Proteins	D020761	Proteína de Unión a GTP rab1A|Proteínas de Unión a GTP rab1|proteína de unión al GTP rab1A|proteína rab1A de unión a GTP
34418	proteína de unión al GTP rab2	rab2 GTP-Binding Protein	D020693	Proteína de Unión a GTP rab2
34419	proteínas de unión al GTP rab3	rab3 GTP-Binding Proteins	D020692	Proteínas de Unión a GTP rab3
34420	proteína de unión al GTP rab3A	rab3A GTP-Binding Protein	D020826	Proteína de Unión a GTP rab3A|Proteína de Unión a GTP smg25a|proteína de unión al GTP smg25a|proteína smg25a de unión a GTP|proteína smg25a de unión al GTP
34421	proteínas de unión al GTP rab4	rab4 GTP-Binding Proteins	D020695	Proteína de Unión a GTP rab4A|Proteína de Unión al GTP rab4A|Proteínas de Unión a GTP rab4|proteína rab4A de unión a GTP|proteína rab4A de unión al GTP
34422	proteínas de unión al GTP rab5	rab5 GTP-Binding Proteins	D020696	Proteína de Unión a GTP rab5A|Proteína de Unión al GTP rab5A|Proteína rab5 de Unión a GTP|Proteína rab5 de Unión al GTP|Proteína rab5A de Unión al GTP|Proteínas de Unión a GTP rab5|proteína rab5A de unión a GTP
34423	proteínas de unión al GTP ral	ral GTP-Binding Proteins	D020725	Proteína de Unión a GTP ral A|Proteínas de Unión a GTP ral|proteína de unión al GTP ral A|proteína ral A de unión a GTP|proteína ral A de unión al GTP
34424	proteína de unión al GTP ran	ran GTP-Binding Protein	D020931	Proteína de Unión a GTP ran|proteína TC4|proteína ran
34425	proteínas de unión al GTP rap	rap GTP-Binding Proteins	D020668	Proteínas de Unión a GTP rap|Proteínas rap Relacionadas a ras|proteínas rap de unión al GTP|proteínas rap reclacionadas con ras
34426	proteínas de unión al GTP rap1	rap1 GTP-Binding Proteins	D020827	Proteína de Unión a GTP Krev-1|Proteína de Unión al GTP Krev-1|Proteínas de Unión a GTP rap1|proteína de unión a GTP SMG p21A|proteína de unión a GTP krev 1|proteína de unión a GTP rap1A|proteína de unión a GTP smg p21|proteína de unión al GTP SMG p21A|proteína de unión al GTP krev 1|proteína de unión al GTP rap1A|proteína de unión al GTP smg p21
34427	proteínas de unión al GTP rho	rho GTP-Binding Proteins	D020741	Proteínas de Unión a GTP rho|Proteínas de Unión a GTP rho Pequeñas|Proteínas de Unión al GTP rho Pequeñas|Proteínas-G rho|GTPasas rho|pequeñas proteínas rho de unión al GTP|proteínas G rho|proteínas rho G|proteínas rho de unión al GTP|proteínas rho pequeñas de unión al GTP
34428	proteína de unión al GTP cdc42	cdc42 GTP-Binding Protein	D020764	Proteína 42 del Ciclo Celular|Proteína de Unión a GTP G25K|Proteína de Unión a GTP G25P|Proteína de Unión a GTP cdc42|Proteína de Unión al GTP G25K|homólogo de la proteína de control de la división celular 42|isoforma placentaria de la proteína de unión al GTP G25K|p21 cdc42|proteína G25 P de unión a GTP|proteína G25K|proteína G25K de unión a GTP|proteína G25K de unión al GTP|proteína G25P de unión al GTP|proteína cdc42|proteína cdc42 de unión al GTP|proteína de unión al GTP G25P|proteína del ciclo de división celular 42
34429	proteína de unión al GTP cdc42 del Saccharomyces cerevisiae	cdc42 GTP-Binding Protein, Saccharomyces cerevisiae	D020846	Proteína de Unión a GTP cdc42 de Saccharomyces cerevisiae|proteína cdc42 de Saccharomyces cerevisiae de unión al GTP|proteína cdc42 de levadura|proteína cdc42 de unión al GTP de levaduras|proteína cdc42 de unión al GTP del Saccharomyces cerevisiae|proteína de unión a GTP cdc42 de levadura|proteína de unión al GTP cdc42 de levadura|proteína de unión al GTP cdc42 de levaduras|Proteína de Unión al GTP cdc42 de Saccharomyces cerevisiae
34430	proteínas de unión al GTP rac	rac GTP-Binding Proteins	D020744	Proteínas de Unión a GTP rac|proteínas rac
34431	proteína de unión al GTP rac1	rac1 GTP-Binding Protein	D020830	Proteína de Unión a GTP TC-25|Proteína de Unión a GTP rac1|Proteína de Unión al GTP TC-25|proteína TC-25 de unión a GTP|proteína TC-25 de unión al GTP
34432	proteína de unión al GTP rhoA	rhoA GTP-Binding Protein	D020742	Miembro A de la Familia Homóloga a Ras|Proteína de Unión a GTP ARHA|Proteína de Unión a GTP rho12|Proteína de Unión a GTP rhoA|Proteína de Unión al GTP ARHA|proteína ARHA de unión a GTP|proteína ARHA de unión al GTP|proteína de unión al GTP rho12
34433	proteína de unión al GTP rhoB	rhoB GTP-Binding Protein	D020743	Proteína arh6 de Unión a GTP|Proteína de Unión a GTP ARHB|Proteína de Unión a GTP rhoB|Proteína de Unión al GTP ARHB|proteína ARHB de unión a GTP|proteína ARHB de unión al GTP|proteína arh6 de unión al GTP|proteína de unión a GTP arh6|proteína de unión al GTP arh6
34434	pancrelipasa	Pancrelipase	D020799	-
34435	cdc25 fosfatasas	cdc25 Phosphatases	D020687	cdc25 Fosfatasas|cdc25-fosfatasas|fosfatasas cdc25
34436	catepsina C	Cathepsin C	D020789	Dipeptidil Peptidasa I|dipeptidil aminopeptidasa I|dipeptidil transferasa
34437	metaloproteinasa 2 de la matriz	Matrix Metalloproteinase 2	D020778	Matriz Metaloproteinasa 2|gelatinasa A
34438	metaloproteinasa 9 de la matriz	Matrix Metalloproteinase 9	D020780	Matriz Metaloproteinasa 9|gelatinasa B
34439	metaloproteinasa 1 de la matriz	Matrix Metalloproteinase 1	D020781	Matriz Metaloproteinasa 1|colagenasa intersticial
34440	metaloproteinasa 8 de la matriz	Matrix Metalloproteinase 8	D020784	Colagenasa de Fibroblasto|Colagenasa de Neutrófilo|Matriz Metaloproteinasa 8|colagenasa 2|colagenasa del fibroblasto|colagenasa del neutrófilo
34441	metaloproteinasas de la matriz	Matrix Metalloproteinases	D020782	MMPs|metaloproteinasas de la matriz extracelular|metaloproteinasas de matriz|metaloproteinasas de matriz extracelular|metaloproteinasas matriciales
34442	metaloproteinasa 7 de la matriz	Matrix Metalloproteinase 7	D020783	Matriz Metaloproteinasa 7|matrilisina
34443	calicreína plasmática	Plasma Kallikrein	D020842	-
34444	calicreínas tisulares	Tissue Kallikreins	D020840	Calicreína 1 Humana Glandular|Calicreína 2 Humana Glandular|Calicreínas Humana Glandular|Calicreínas Tisulares|calicreína glandular humana 1|calicreína glandular humana 2|calicreína hK1|calicreína hK2|calicreína pancreática|calicreína urinaria|calicreínas glandulares humanas|Calicreínas de Tejido
34445	subtilisina	Subtilisin	D020860	-
34446	venombina A	Venombin A	D020791	-
34447	exopeptidasas	Exopeptidases	D020689	exoproteasas
34448	MAP cinasa cinasa cinasas	MAP Kinase Kinase Kinases	D020930	QQEMs|QQQPAMs|Quinasas QAM|Quinasas Quinasa QPAM-ERQ|MAPK-ERK quinasa quinasas|MAPKKKs|MEK quinasas|MEKKs|Quinasas Quinasa Quinasa PAM
34449	cinasas de proteína cinasa activada por mitógenos	Mitogen-Activated Protein Kinase Kinases	D020929	MEQS|PAMQQS|Quinasas QPAM|Quinasas QPAM-ERQ|Quinasas Quinasa PAM|Quinasas de Proteína Quinasa Activadas por Mitógeno|Quinasas de Proteína Quinasa Mitógeno Activadas|MAP cinasa cinasas|MAPK cinasas|MAPK-ERK cinasas|MAPKKs|MEKs|cinasas de MAP cinasa|Quinasas de Proteína Quinasa Activadas por Mitógenos
34450	proteínas cinasas activadas por mitógenos	Mitogen-Activated Protein Kinases	D020928	Proteínas Quinasas Activadas por Mitógeno|Proteínas Quinasas Mitógeno Activadas|proteína cinasas activadas por mitógenos|Proteínas Quinasas Activadas por Mitógenos
34452	receptor ErbB-3	Receptor, ErbB-3	D020893	Proteína c-erbB-3|Proteína de Protooncogén HER-3|Proteína de Protooncogén erbB-3|Proteína erbB-3|Receptor erbB-3|proteína HER-3 de protooncogén|proteína c-erb-3|proteína erb-3|proteína erb-3 de protooncogén
34453	receptor alfa de factor de crecimiento derivados de plaquetas	Receptor, Platelet-Derived Growth Factor alpha	D020796	R-CDPF alfa|Receptor CDPF alfa|Receptor PDGF alfa|Receptor Tipo alfa de Factor de Crecimiento Derivado de Plaquetas|PDGF-R-alfa|PDGF-alfa, receptor|antígenos CD140a|receptor alfa de PDGF|receptor de CDPF alfa|receptor de PDGF alfa|Receptor alfa de Factor de Crecimiento Derivado de Plaquetas
34454	receptor beta de factor de crecimiento derivado de plaquetas	Receptor, Platelet-Derived Growth Factor beta	D020797	Receptor CDPF beta|Receptor PDGF beta|Receptor beta de Factor de Crecimiento Derivado de Plaqueta|Receptor tipo beta de Factor de Crecimiento Derivado de Plaquetas|RCDPF beta|antígenos CD140b|receptor beta del PDGF|receptor de PDGF beta
34455	receptor trkA	Receptor, trkA	D020917	Proteína de Protooncogén trk|Receptor Neurotrófico de Tirosina Quinasa Tipo 1|gp140(c-TRK)|proteína trk de protooncogén|receptor NTRK1|receptor neurotrófico tirosina cinasa tipo 1
34456	receptor trkB	Receptor, trkB	D020813	Receptor FNDC|receptor NTRK2|receptor de BDNF|receptor de factor neurotrófico derivado del cerebro|receptor neurotrófico tirosina cinasa tipo 2
34457	receptor trkC	Receptor, trkC	D020812	Proteína Tirosina Quinasa trkC|Receptor 3 de Neurotrofina|proteína tirosina cinasa TRKC|receptor NTRK3|receptor de neurotrofina 3|receptor tirosina cinasa neurotrófico tipo 3
34458	acarbosa	Acarbose	D020909	-
34459	aceite del árbol del té	Tea Tree Oil	D020947	Aceite de Melaleuca alternifolia|aceite de Malaleuca alternifolia|Aceite de Árbol de Té
34460	inhibidores de la angiogénesis	Angiogenesis Inhibitors	D020533	Agentes Angiostáticos|Antagonistas Angiogénicos|Efecto Antiangiogenesis|Inhibidor de la Angiogénesis|Inhibidores de la Neurovascularización|Medicamentos Antiangiogénicos|angiostáticos|antagonistas de la angiogénesis|fármacos antiangiogénicos|inhibidores de la neovascularización
34461	factor neurotrófico ciliar	Ciliary Neurotrophic Factor	D020934	FNTC|CNTF
34462	factor de maduración de la glía	Glia Maturation Factor	D020904	FMG|FMG-beta|Factor beta de Maduración de la Glia|GMF-beta|factor beta de maduración de la glía
34463	factor de crecimiento nervioso	Nerve Growth Factor	D020932	FCN|Factor 1 de Crecimiento de Nervios|Factor de Crecimiento de Nervios|Subunidad alfa de Crecimiento Nervioso|Subunidad alfa de Crecimiento de Nervios|Subunidad beta de Crecimiento Nervioso|Subunidad beta de Crecimiento de Nervios|Subunidad gamma de Crecimiento Nerviosos|Subunidad gamma de Crecimiento de Nervios|factor 1 de crecimiento nervioso|subunidad alfa del factor de crecimiento del nervio|subunidad alfa del factor de crecimiento nervioso|subunidad beta del factor de crecimiento del nervio|subunidad beta del factor de crecimiento nervioso|subunidad gamma del factor de crecimiento del nervio|subunidad gamma del factor de crecimiento nervioso
34464	neurregulinas	Neuregulins	D020880	proteínas NRG
34465	neurregulina-1	Neuregulin-1	D020890	factor de crecimiento glial|factor de diferenciación neu|herregulina|proteína NDF|proteína NRG1
34466	neurotrofina 3	Neurotrophin 3	D020933	Factor 2 de Crecimiento de Nervios|factor 2 de crecimiento del nervio|factor 2 de crecimiento nervioso
34467	proteínas protooncogénicas c-sis	Proto-Oncogene Proteins c-sis	D020574	FBCDP|Factor B de Crecimiento Derivado de Plaqueta|Proteínas Proto-Oncogénicas sis|Proteínas de Proto-Oncogén c-sis|Proteínas de Proto-Oncogén sis|Proteínas de Protooncogén c-sis|PDGFB|factor de crecimiento B derivado de plaquetas|proteínas c-sis|proteínas de protooncogén sis|proteínas protooncogénicas sis|Proteínas Proto-Oncogénicas c-sis
34468	sistema de señalización de las MAP cinasas	MAP Kinase Signaling System	D020935	Cascada de MAP Quinasas|Vías de Señalización de MAP Quinasas|cascada de MAP cinasas|vias de señalizacion MAP cinasas|Sistema de Señalización de MAP Quinasas
34469	encefalina Ala(2)-MePhe(4)-Gly(5)-	Enkephalin, Ala(2)-MePhe(4)-Gly(5)-	D020875	D-Ala(2)-MeFe(4)-Gli-ol(5) Encefalina|DAMGO|encefalina D-Ala(2)-MePhe(4)-Gly-ol(5)|Encefalina Ala(2)-MeFe(4)-Gli(5)
34470	encefalina D-penicilamina (2,5)-	Enkephalin, D-Penicillamine (2,5)-	D020881	D-Pen2, D-Pen5-Encefalina|D-Penicilamina (2,5)-Encefalina|D-Pen2 D-Pen5-encefalina|D-penicilanina (2,5)-encefalina|DPDPE|Encefalina D-Penicilamina (2,5)
34471	Proteínas B I-kappa	I-kappa B Proteins	D020672	I-kappa B|Proteínas I-kappa B
34472	proteínas protooncogénicas c-myb	Proto-Oncogene Proteins c-myb	D020598	Proteínas Proto-Oncogénicas myb|Proteínas de Proto-Oncogén c-myb|Proteínas de Proto-Oncogén myb|Proteínas de Protooncogén myb|proteínas c-myb|proteínas de protooncogén c-myb|Proteínas Proto-Oncogénicas c-myb
34473	proteínas protooncogénicas c-rel	Proto-Oncogene Proteins c-rel	D020569	Proteínas Proto-Oncogénicas rel|Proteínas de Proto-Oncogén c-rel|Proteínas de Proto-Oncogén rel|Proteínas de Protooncogén rel|p68(c-rel)|proteínas c-rel|proteínas de protooncogén c-rel|Proteínas Proto-Oncogénicas c-rel
34474	proteínas con dominio T-box	T-Box Domain Proteins	D020825	Proteínas de Dominio T Box
34475	canales del calcio tipo L	Calcium Channels, L-Type	D020746	Canales de Calcio Largo-Duraderos|Subunidad alfa 1 VDCC Tipo L|canales de calcio de larga duración|canales de calcio tipo-L|receptores de dihidropiridina|subunidad alfa 1 de VDCC de tipo-L|Canales de Calcio Tipo L
34476	canales del calcio tipo N	Calcium Channels, N-Type	D020864	Canales de Calcio Tipo-Neural|canales del calcio de tipo N|canales del calcio tipo nervioso|Canales de Calcio Tipo N
34477	canales del calcio tipo P	Calcium Channels, P-Type	D020865	Canales de Calcio Tipo-P|Canales de Calcio Tipo-Purkinje|canales del calcio de tipo P|canales del calcio tipo Purkinje|Canales de Calcio Tipo P
34478	canales del calcio tipo Q	Calcium Channels, Q-Type	D020907	Canales de Calcio Tipo Q
34479	canales del calcio tipo R	Calcium Channels, R-Type	D020908	Canales de Calcio Tipo R
34480	canales del calcio tipo T	Calcium Channels, T-Type	D020747	Canales de Calcio Tipo-Transitorios|canales del calcio tipo transitorio|Canales de Calcio Tipo T
34481	reguladores de las proteínas de unión a GTP	GTP-Binding Protein Regulators	D020555	Factores Reguladores de Proteína G|Reguladores de Proteína G Señalizadora|Reguladores de Proteínas de Unión a GTP|factores reguladores de la proteína G|reguladores de la señalización de la proteína G|Reguladores de Proteínas de Unión al GTP
34482	proteínas activadoras de GTPasa	GTPase-Activating Proteins	D020690	proteínas GAP
34483	proteínas quimerinas	Chimerin Proteins	D020740	-
34484	quimerina 1	Chimerin 1	D020848	Quimerina-N|alfa 1 Quimerina|alfa 2 Quimerina|alfa Quimerina|proteína arhGAP2|proteína rhoGAP2|quimerina alfa|quimerina alfa 1|quimerina alfa 2|quimerina n
34485	proteínas ras activadoras de GTPasas	ras GTPase-Activating Proteins	D020703	ras-GAPs|GAP ras|Proteínas Activadoras de ras GTPasa
34486	proteína p120 activadora de GTPasa	p120 GTPase Activating Protein	D020729	Proteína p120-GAP|Proteína p125-GAP|proteína p100-GAP|proteína p120 GAP|proteína p125 GAP|Proteína Activadora de GTPasa p120
34487	proteínas RGS	RGS Proteins	D020710	Proteínas de Señalización de Reguladores de Proteína G|proteínas de señalización de los reguladores de proteína G
34488	inhibidores de la disociación de nucleótidos de guanina	Guanine Nucleotide Dissociation Inhibitors	D020730	Inhibidores de Disociación GDP|inhibidores de la disociación de GDP|proteínas GDI|Inhibidores de Disociación de Guanina Nucleótido
34489	factores de intercambio de nucleótidos de guanina	Guanine Nucleotide Exchange Factors	D020662	Factores Liberadores de Guanina Nucleótido|factores de intercambio GDP|factores liberadores de nucleótidos de guanina|factores revertidores de GDP-GTP|Factores de Intercambio de Guanina Nucleótido
34490	factor de iniciación eucariótico 2B	Eukaryotic Initiation Factor-2B	D020717	Factor de Iniciación Eucariótico 2B|EIF-2B|EIF2B1|factor EIF-2B de iniciación de péptidos|Factor 2B Eucariótico de Iniciación
34491	factor 2 liberador de nucleótidos de guanina	Guanine Nucleotide-Releasing Factor 2	D020735	Factor C3g de Intercambio de Guanina Nucleótido|GRF2|factor C3G de intercambio de nucleótidos de guanina|proteína C3G|proteína GRF2|Factor 2 Liberador de Guanina Nucleótido
34492	factor ral de intercambio de nucleótidos de guanina	ral Guanine Nucleotide Exchange Factor	D020726	Estimulante de Disociación ral GDP|Ralgde|estimulador de la disociación ral GDP|ralGDS|Factor de Intercambio de Guanina Nucleótido ral
34493	factores de intercambio de nucleótidos de guanina ras	ras Guanine Nucleotide Exchange Factors	D020663	FsIGras|GEF ras|rasGEFs|Factores de Intercambio de Guanina Nucleótido ras
34494	ras-GFR1	ras-GRF1	D020666	Factor de Intercambio de Guanina Nucleótido cdc25|factor de intercambio de nucleótidos de guanina cdc25|proteína GRF1|proteína H-GRF55|ras-GRF1
34495	proteínas SOS	Son of Sevenless Proteins	D020664	Proteínas SOS|Proteínas Son Of Sevenless
34496	proteína SOS1	SOS1 Protein	D020837	Son of Sevenless Homologa 1|homólogo 1 de SOS
34497	proteína SOS de Drosophila	Son of Sevenless Protein, Drosophila	D020839	proteína SOS|Proteína Son Of Sevenless Drosofila
34499	complejo I de proteína de recucierta	Coat Protein Complex I	D020755	PCOI|Proteína PCOI|COPI|complejo I de proteína de revestimiento|proteína COPI|Proteína Coat de Complejo I
34500	proteína coatómera	Coatomer Protein	D020756	Proteína Coatómero
34501	receptor del factor neurotrófico ciliar	Receptor, Ciliary Neurotrophic Factor	D020801	Receptor FCNT|Receptor de Factor Ciliar Neurotrófico|receptor CNTF|Receptor de Factor Neurotrófico Ciliar
34502	receptor de factor de crecimiento nervioso	Receptor, Nerve Growth Factor	D020800	Proteína RFCN|Receptor FCN|Receptor de Baja Afinidad de Factor de Crecimiento Nervioso|Receptor de Baja Afinidad de Factor de Crecimiento del Nervio|Receptor de Factor de Crecimiento del Nervio|Receptor p75 de Factor de Crecimiento Nervioso|Receptor p75 de Factor de Crecimiento del Nervio|proteína NGFR|receptor NGF|receptor de baja afinidad de factores de crecimiento nervioso|receptor p75 de factores de crecimiento nervioso
34503	ribonucleoproteínas citoplasmáticas pequeñas	Ribonucleoproteins, Small Cytoplasmic	D020736	pcRNP|ribonucleoproteínas pequeñas citoplasmáticas|scRNP
34504	ribonucleoproteínas nucleolares pequeñas	Ribonucleoproteins, Small Nucleolar	D020718	RNPnop|ribonucleoproteínas pequeñas nucleolares|snoRNP
34505	ribonucleoproteína nuclear pequeña U7	Ribonucleoprotein, U7 Small Nuclear	D020885	Ribonucleoproteína U7 Nuclear Pequeña|Ribonucleoproteínas U7 Nucleares Pequeñas|RNPnp U7|ribonucleoproteínas nucleares pequeñas U7
34506	proteínas oncogénicas v-myb	Oncogene Proteins v-myb	D020626	p48(v-myb)|proteínas de oncogenes v-myb|proteínas oncogénicas myb|proteínas v-myb
34507	proteínas oncogénicas v-rel	Oncogene Proteins v-rel	D020572	Proteínas Oncogénicas pp59(v-rel)|pp59(v-rel)|proteína de oncogén pp59(v-rel)|proteína oncogénica pp59(v-rel)|proteínas de oncogenes v-rel|proteínas oncogénicas rel|proteínas v-rel
34508	proteínas oncogénicas v-sis	Oncogene Proteins v-sis	D020575	Proteínas Oncogénicas p28(v-sis)|Proteínas Oncogénicas sis|p28(v-sis)|proteína oncogénica p28(v-sis)|proteínas de oncogenes sis|proteínas de oncogenes v-sis|proteínas v-sis
34509	poliproteínas	Polyproteins	D020815	-
34510	proteoma	Proteome	D020543	-
34511	ARN nucleolar pequeño	RNA, Small Nucleolar	D020537	ARN Pequeño Nucleolar|ARNnop|snoRNA
34512	ARN citoplasmático pequeño	RNA, Small Cytoplasmic	D020733	ARN Pequeño Citoplasmático|pcARN|RNA citoplasmático pequeño|scRNA
34513	quimiocinas CX3C	Chemokines, CX3C	D020523	quimioquinas CX3C
34514	conotoxinas	Conotoxins	D020916	alfa-Conotoxinas|mu-Conotoxinas|conotoxinas alfa|conotoxinas mu
34515	conotoxinas omega	omega-Conotoxins	D020960	omega-conotoxinas
34516	conotoxina omega GVIA	omega-Conotoxin GVIA	D020866	omega-conotoxina GVIA
34517	omega-agatoxina IVA	omega-Agatoxin IVA	D020867	omega-aga-IVA
34518	compómeros	Compomers	D020770	Resinas Compuestas de Poliácido Modificado|resinas compuestas modificadas por poliácidos
34519	elastómeros	Elastomers	D020724	goma sintética
34520	activadores enzimáticos	Enzyme Activators	D020536	activadores de enzimas
34521	activadores de la GTP-fosfohidrolasa	GTP Phosphohydrolase Activators	D020549	Activadores de GTPasa|activadores de la GTPasa|Activadores de GTP Fosfohidrolasa
34522	microscopía de sonda de barrido	Microscopy, Scanning Probe	D020527	microscopía por sonda de rastreo
34523	fotografía dental	Photography, Dental	D023861	fotografía intraoral
34524	angioscopia microscópica	Microscopic Angioscopy	D020678	Capilaroscopía|capilaroscopia
34525	cirugía torácica asistida por vídeo	Thoracic Surgery, Video-Assisted	D020775	Video Cirugía Torácica|VCT|videocirugía torácica
34526	cirugía asistida por vídeo	Video-Assisted Surgery	D020535	Video Cirugía|videocirugía
34527	peso fetal	Fetal Weight	D020567	peso corporal fetal
34528	xenodiagnóstico	Xenodiagnosis	D020525	-
34529	pericardiocentesis	Pericardiocentesis	D020519	-
34530	extracción de tejidos y órganos	Tissue and Organ Harvesting	D020858	Recolección de Órganos|Recuperación de Órganos|extracción de tejidos|extracción de órganos|recolección de tejidos|recolección de órganos|recuperación de órganos|Recolección de Tejidos y Órganos
34531	acupuntura auricular	Acupuncture, Ear	D020831	acupuntura en la oreja
34532	medicina Kampo	Medicine, Kampo	D020835	-
34533	extracción de implantes	Device Removal	D020878	Remoción de Dispositivos
34534	colpotomía	Colpotomy	D020884	-
34535	histerotomía	Hysterotomy	D020883	-
34536	queratomileusis con láser in situ	Keratomileusis, Laser In Situ	D020731	LASIK|QLIS|queratomileusis in situ por láser|Queratomileusis por Láser In Situ
34537	resección transuretral de próstata	Transurethral Resection of Prostate	D020728	Ablación Transuretral por Láser Visual de la Próstata|Ablación de Radiofrecuencia Termal Transuretral|Ablación por Aguja Transuretral de la Próstata|Ablasión de la Próstata por Láser de Contacto|Prostatectomía Transuretral Inducida por Láser Guiada por Ultrasonido|TUVP|VLAP|Vaporresección Transuretral de la Próstata|RTUP|ablación transuretral de la próstata con aguja|ablación transuretral térmica con radiofrecuencia|electrorresección transuretral de la próstata|electrovaporización transuretral de la próstata|prostatectomía transuretral|prostatectomía transuretral por láser guiada por ultrasonidos|termoterapia transuretral|termoterapia transuretral con microondas|vasorresección transuretral de la próstata|Resección Transuretral de la Próstata
34538	análisis de cometas	Comet Assay	D020552	Electroforesis de Células Aisladas|Electroforesis en Gel de Célula Simple|Ensayo de Electroforesis en Gel de Célula Simple Alcalina|electroforesis sobre gel de célula individual|ensayo cometa alcalino|ensayo de electroforesis sobre gel de célula individual alcalina|Ensayo Cometa
34539	técnicas químicas combinatorias	Combinatorial Chemistry Techniques	D020650	técnicas de química combinatoria
34540	tratamiento medicamentoso en bolo	Pulse Therapy, Drug	D020551	Terapia Pulsada de Medicamentos|tratamiento medicamentoso por pulso|Quimioterapia por Pulso
34541	técnicas del sistema de dos híbridos	Two-Hybrid System Techniques	D020798	Técnicas del Sistema de Dos Híbridos Inversos|Técnicas del Sistema de Dos Híbridos en Levadura|Técnicas del Sistema de Tres Híbridos|Técnicas del Sistema de Un Híbrido|Técnicas del Sistema de Un Híbrido Inverso|ensayos de dos híbridos en levadura
34542	análisis citogenético	Cytogenetic Analysis	D020732	técnicas citogenéticas|técnicas citogenéticas moleculares
34543	perfiles de expresión génica	Gene Expression Profiling	D020869	Análisis de la Expresión de Transcripción|Análisis del Patrón de la Expresión Génica|Despliegue Diferencial de ARNm|Perfilación de Transcriptomas|perfiles de transcriptomas|Perfilación de la Expresión Génica
